Fila,n,C(n)
FLC,788,1
FLEV1,788,3
FLEV2,788,3
FLEV3,788,4
FLEV4,788,8
FLC,789,1
FLEV1,789,3
FLEV2,789,3
FLEV3,789,4
FLEV4,789,8
FLC,790,1
FLEV1,790,3
FLEV2,790,3
FLEV3,790,4
FLEV4,790,8
FLC,791,1
FLEV1,791,3
FLEV2,791,3
FLEV3,791,4
FLEV4,791,8
FLC,792,1
FLEV1,792,3
FLEV2,792,3
FLEV3,792,4
FLEV4,792,8
FLC,793,1
FLEV1,793,3
FLEV2,793,3
FLEV3,793,4
FLEV4,793,8
FLC,794,1
FLEV1,794,3
FLEV2,794,3
FLEV3,794,4
FLEV4,794,8
FLC,795,1
FLEV1,795,3
FLEV2,795,3
FLEV3,795,4
FLEV4,795,8
FLC,796,1
FLEV1,796,3
FLEV2,796,3
FLEV3,796,4
FLEV4,796,8
FLC,797,1
FLEV1,797,3
FLEV2,797,3
FLEV3,797,4
FLEV4,797,8
FLC,798,1
FLEV1,798,3
FLEV2,798,3
FLEV3,798,4
FLEV4,798,8
FLC,799,1
FLEV1,799,3
FLEV2,799,3
FLEV3,799,4
FLEV4,799,8
FLC,800,1
FLEV1,800,3
FLEV2,800,3
FLEV3,800,4
FLEV4,800,8
FLC,801,1
FLEV1,801,3
FLEV2,801,3
FLEV3,801,4
FLEV4,801,8
FLC,802,1
FLEV1,802,3
FLEV2,802,3
FLEV3,802,4
FLEV4,802,8
FLC,803,1
FLEV1,803,3
FLEV2,803,3
FLEV3,803,4
FLEV4,803,8
FLC,804,1
FLEV1,804,3
FLEV2,804,3
FLEV3,804,4
FLEV4,804,8
FLC,805,1
FLEV1,805,3
FLEV2,805,3
FLEV3,805,4
FLEV4,805,8
FLC,806,1
FLEV1,806,3
FLEV2,806,3
FLEV3,806,4
FLEV4,806,8
FLC,807,1
FLEV1,807,3
FLEV2,807,3
FLEV3,807,4
FLEV4,807,8
FLC,808,1
FLEV1,808,3
FLEV2,808,3
FLEV3,808,4
FLEV4,808,8
FLC,809,1
FLEV1,809,3
FLEV2,809,3
FLEV3,809,4
FLEV4,809,8
FLC,810,1
FLEV1,810,3
FLEV2,810,3
FLEV3,810,4
FLEV4,810,8
FLC,811,1
FLEV1,811,3
FLEV2,811,3
FLEV3,811,4
FLEV4,811,8
FLC,812,1
FLEV1,812,3
FLEV2,812,3
FLEV3,812,4
FLEV4,812,8
FLC,813,1
FLEV1,813,3
FLEV2,813,3
FLEV3,813,4
FLEV4,813,8
FLC,814,1
FLEV1,814,3
FLEV2,814,3
FLEV3,814,4
FLEV4,814,8
FLC,815,1
FLEV1,815,3
FLEV2,815,3
FLEV3,815,4
FLEV4,815,8
FLC,816,1
FLEV1,816,3
FLEV2,816,3
FLEV3,816,4
FLEV4,816,8
FLC,817,1
FLEV1,817,3
FLEV2,817,3
FLEV3,817,4
FLEV4,817,8
FLC,818,1
FLEV1,818,3
FLEV2,818,3
FLEV3,818,4
FLEV4,818,8
FLC,819,1
FLEV1,819,3
FLEV2,819,3
FLEV3,819,4
FLEV4,819,8
FLC,820,1
FLEV1,820,3
FLEV2,820,3
FLEV3,820,4
FLEV4,820,8
FLC,821,1
FLEV1,821,3
FLEV2,821,3
FLEV3,821,4
FLEV4,821,8
FLC,822,1
FLEV1,822,3
FLEV2,822,3
FLEV3,822,4
FLEV4,822,8
FLC,823,1
FLEV1,823,3
FLEV2,823,3
FLEV3,823,4
FLEV4,823,8
FLC,824,1
FLEV1,824,3
FLEV2,824,3
FLEV3,824,4
FLEV4,824,8
FLC,825,1
FLEV1,825,3
FLEV2,825,3
FLEV3,825,4
FLEV4,825,8
FLC,826,1
FLEV1,826,3
FLEV2,826,3
FLEV3,826,4
FLEV4,826,8
FLC,827,1
FLEV1,827,3
FLEV2,827,3
FLEV3,827,4
FLEV4,827,8
FLC,828,1
FLEV1,828,3
FLEV2,828,3
FLEV3,828,4
FLEV4,828,8
FLC,829,1
FLEV1,829,3
FLEV2,829,3
FLEV3,829,4
FLEV4,829,8
FLC,830,1
FLEV1,830,3
FLEV2,830,3
FLEV3,830,4
FLEV4,830,8
FLC,831,1
FLEV1,831,3
FLEV2,831,3
FLEV3,831,4
FLEV4,831,8
FLC,832,1
FLEV1,832,3
FLEV2,832,3
FLEV3,832,4
FLEV4,832,8
FLC,833,1
FLEV1,833,3
FLEV2,833,3
FLEV3,833,4
FLEV4,833,8
FLC,834,1
FLEV1,834,3
FLEV2,834,3
FLEV3,834,4
FLEV4,834,8
FLC,835,1
FLEV1,835,3
FLEV2,835,3
FLEV3,835,4
FLEV4,835,8
FLC,836,1
FLEV1,836,3
FLEV2,836,3
FLEV3,836,4
FLEV4,836,8
FLC,837,1
FLEV1,837,3
FLEV2,837,3
FLEV3,837,4
FLEV4,837,8
FLC,838,1
FLEV1,838,3
FLEV2,838,3
FLEV3,838,4
FLEV4,838,8
FLC,839,1
FLEV1,839,3
FLEV2,839,3
FLEV3,839,4
FLEV4,839,8
FLC,840,1
FLEV1,840,3
FLEV2,840,3
FLEV3,840,4
FLEV4,840,8
FLC,841,1
FLEV1,841,3
FLEV2,841,3
FLEV3,841,4
FLEV4,841,8
FLC,842,1
FLEV1,842,3
FLEV2,842,3
FLEV3,842,4
FLEV4,842,8
FLC,843,1
FLEV1,843,3
FLEV2,843,3
FLEV3,843,4
FLEV4,843,8
FLC,844,1
FLEV1,844,3
FLEV2,844,3
FLEV3,844,4
FLEV4,844,8
FLC,845,1
FLEV1,845,3
FLEV2,845,3
FLEV3,845,4
FLEV4,845,8
FLC,846,1
FLEV1,846,3
FLEV2,846,3
FLEV3,846,4
FLEV4,846,8
FLC,847,1
FLEV1,847,3
FLEV2,847,3
FLEV3,847,4
FLEV4,847,8
FLC,848,1
FLEV1,848,3
FLEV2,848,3
FLEV3,848,4
FLEV4,848,8
FLC,849,1
FLEV1,849,3
FLEV2,849,3
FLEV3,849,4
FLEV4,849,8
FLC,850,1
FLEV1,850,3
FLEV2,850,3
FLEV3,850,4
FLEV4,850,8
FLC,851,1
FLEV1,851,3
FLEV2,851,3
FLEV3,851,4
FLEV4,851,8
FLC,852,1
FLEV1,852,3
FLEV2,852,3
FLEV3,852,4
FLEV4,852,8
FLC,853,1
FLEV1,853,3
FLEV2,853,3
FLEV3,853,4
FLEV4,853,8
FLC,854,1
FLEV1,854,3
FLEV2,854,3
FLEV3,854,4
FLEV4,854,8
FLC,855,1
FLEV1,855,3
FLEV2,855,3
FLEV3,855,4
FLEV4,855,8
FLC,856,1
FLEV1,856,3
FLEV2,856,3
FLEV3,856,4
FLEV4,856,8
FLC,857,1
FLEV1,857,3
FLEV2,857,3
FLEV3,857,4
FLEV4,857,8
FLC,858,1
FLEV1,858,3
FLEV2,858,3
FLEV3,858,4
FLEV4,858,8
FLC,859,1
FLEV1,859,3
FLEV2,859,3
FLEV3,859,4
FLEV4,859,8
FLC,860,1
FLEV1,860,3
FLEV2,860,3
FLEV3,860,4
FLEV4,860,8
FLC,861,1
FLEV1,861,3
FLEV2,861,3
FLEV3,861,4
FLEV4,861,8
FLC,862,1
FLEV1,862,3
FLEV2,862,3
FLEV3,862,4
FLEV4,862,8
FLC,863,1
FLEV1,863,3
FLEV2,863,3
FLEV3,863,4
FLEV4,863,8
FLC,864,1
FLEV1,864,3
FLEV2,864,3
FLEV3,864,4
FLEV4,864,8
FLC,865,1
FLEV1,865,3
FLEV2,865,3
FLEV3,865,4
FLEV4,865,8
FLC,866,1
FLEV1,866,3
FLEV2,866,3
FLEV3,866,4
FLEV4,866,8
FLC,867,1
FLEV1,867,3
FLEV2,867,3
FLEV3,867,4
FLEV4,867,8
FLC,868,1
FLEV1,868,3
FLEV2,868,3
FLEV3,868,4
FLEV4,868,8
FLC,869,1
FLEV1,869,3
FLEV2,869,3
FLEV3,869,4
FLEV4,869,8
FLC,870,1
FLEV1,870,3
FLEV2,870,3
FLEV3,870,4
FLEV4,870,8
FLC,871,1
FLEV1,871,3
FLEV2,871,3
FLEV3,871,4
FLEV4,871,8
FLC,872,1
FLEV1,872,3
FLEV2,872,3
FLEV3,872,4
FLEV4,872,8
FLC,873,1
FLEV1,873,3
FLEV2,873,3
FLEV3,873,4
FLEV4,873,8
FLC,874,1
FLEV1,874,3
FLEV2,874,3
FLEV3,874,4
FLEV4,874,8
FLC,875,1
FLEV1,875,3
FLEV2,875,3
FLEV3,875,4
FLEV4,875,8
FLC,876,1
FLEV1,876,3
FLEV2,876,3
FLEV3,876,4
FLEV4,876,8
FLC,877,1
FLEV1,877,3
FLEV2,877,3
FLEV3,877,4
FLEV4,877,8
FLC,878,1
FLEV1,878,3
FLEV2,878,3
FLEV3,878,4
FLEV4,878,8
FLC,879,1
FLEV1,879,3
FLEV2,879,3
FLEV3,879,4
FLEV4,879,8
FLC,880,1
FLEV1,880,3
FLEV2,880,3
FLEV3,880,4
FLEV4,880,8
FLC,881,1
FLEV1,881,3
FLEV2,881,3
FLEV3,881,4
FLEV4,881,8
FLC,882,1
FLEV1,882,3
FLEV2,882,3
FLEV3,882,4
FLEV4,882,8
FLC,883,1
FLEV1,883,3
FLEV2,883,3
FLEV3,883,4
FLEV4,883,8
FLC,884,1
FLEV1,884,3
FLEV2,884,3
FLEV3,884,4
FLEV4,884,8
FLC,885,1
FLEV1,885,3
FLEV2,885,3
FLEV3,885,4
FLEV4,885,8
FLC,886,1
FLEV1,886,3
FLEV2,886,3
FLEV3,886,4
FLEV4,886,8
FLC,887,1
FLEV1,887,3
FLEV2,887,3
FLEV3,887,4
FLEV4,887,8
FLC,888,1
FLEV1,888,3
FLEV2,888,3
FLEV3,888,4
FLEV4,888,8
FLC,889,1
FLEV1,889,3
FLEV2,889,3
FLEV3,889,4
FLEV4,889,8
FLC,890,1
FLEV1,890,3
FLEV2,890,3
FLEV3,890,4
FLEV4,890,8
FLC,891,1
FLEV1,891,3
FLEV2,891,3
FLEV3,891,4
FLEV4,891,8
FLC,892,1
FLEV1,892,3
FLEV2,892,3
FLEV3,892,4
FLEV4,892,8
FLC,893,1
FLEV1,893,3
FLEV2,893,3
FLEV3,893,4
FLEV4,893,8
FLC,894,1
FLEV1,894,3
FLEV2,894,3
FLEV3,894,4
FLEV4,894,8
FLC,895,1
FLEV1,895,3
FLEV2,895,3
FLEV3,895,4
FLEV4,895,8
FLC,896,1
FLEV1,896,3
FLEV2,896,3
FLEV3,896,4
FLEV4,896,8
FLC,897,1
FLEV1,897,3
FLEV2,897,3
FLEV3,897,4
FLEV4,897,8
FLC,898,1
FLEV1,898,3
FLEV2,898,3
FLEV3,898,4
FLEV4,898,8
FLC,899,1
FLEV1,899,3
FLEV2,899,3
FLEV3,899,4
FLEV4,899,8
FLC,900,1
FLEV1,900,3
FLEV2,900,3
FLEV3,900,4
FLEV4,900,8
FLC,901,1
FLEV1,901,3
FLEV2,901,3
FLEV3,901,4
FLEV4,901,8
FLC,902,1
FLEV1,902,3
FLEV2,902,3
FLEV3,902,4
FLEV4,902,8
FLC,903,1
FLEV1,903,3
FLEV2,903,3
FLEV3,903,4
FLEV4,903,8
FLC,904,1
FLEV1,904,3
FLEV2,904,3
FLEV3,904,4
FLEV4,904,8
FLC,905,1
FLEV1,905,3
FLEV2,905,3
FLEV3,905,4
FLEV4,905,8
FLC,906,1
FLEV1,906,3
FLEV2,906,3
FLEV3,906,4
FLEV4,906,8
FLC,907,1
FLEV1,907,3
FLEV2,907,3
FLEV3,907,4
FLEV4,907,8
FLC,908,1
FLEV1,908,3
FLEV2,908,3
FLEV3,908,4
FLEV4,908,8
FLC,909,1
FLEV1,909,3
FLEV2,909,3
FLEV3,909,4
FLEV4,909,8
FLC,910,1
FLEV1,910,3
FLEV2,910,3
FLEV3,910,4
FLEV4,910,8
FLC,911,1
FLEV1,911,3
FLEV2,911,3
FLEV3,911,4
FLEV4,911,8
FLC,912,1
FLEV1,912,3
FLEV2,912,3
FLEV3,912,4
FLEV4,912,8
FLC,913,1
FLEV1,913,3
FLEV2,913,3
FLEV3,913,4
FLEV4,913,8
FLC,914,1
FLEV1,914,3
FLEV2,914,3
FLEV3,914,4
FLEV4,914,8
FLC,915,1
FLEV1,915,3
FLEV2,915,3
FLEV3,915,4
FLEV4,915,8
FLC,916,1
FLEV1,916,3
FLEV2,916,3
FLEV3,916,4
FLEV4,916,8
FLC,917,1
FLEV1,917,3
FLEV2,917,3
FLEV3,917,4
FLEV4,917,8
FLC,918,1
FLEV1,918,3
FLEV2,918,3
FLEV3,918,4
FLEV4,918,8
FLC,919,1
FLEV1,919,3
FLEV2,919,3
FLEV3,919,4
FLEV4,919,8
FLC,920,1
FLEV1,920,3
FLEV2,920,3
FLEV3,920,4
FLEV4,920,8
FLC,921,1
FLEV1,921,3
FLEV2,921,3
FLEV3,921,4
FLEV4,921,8
FLC,922,1
FLEV1,922,3
FLEV2,922,3
FLEV3,922,4
FLEV4,922,8
FLC,923,1
FLEV1,923,3
FLEV2,923,3
FLEV3,923,4
FLEV4,923,8
FLC,924,1
FLEV1,924,3
FLEV2,924,3
FLEV3,924,4
FLEV4,924,8
FLC,925,1
FLEV1,925,3
FLEV2,925,3
FLEV3,925,4
FLEV4,925,8
FLC,926,1
FLEV1,926,3
FLEV2,926,3
FLEV3,926,4
FLEV4,926,8
FLC,927,1
FLEV1,927,3
FLEV2,927,3
FLEV3,927,4
FLEV4,927,8
FLC,928,1
FLEV1,928,3
FLEV2,928,3
FLEV3,928,4
FLEV4,928,8
FLC,929,1
FLEV1,929,3
FLEV2,929,3
FLEV3,929,4
FLEV4,929,8
FLC,930,1
FLEV1,930,3
FLEV2,930,3
FLEV3,930,4
FLEV4,930,8
FLC,931,1
FLEV1,931,3
FLEV2,931,3
FLEV3,931,4
FLEV4,931,8
FLC,932,1
FLEV1,932,3
FLEV2,932,3
FLEV3,932,4
FLEV4,932,8
FLC,933,1
FLEV1,933,3
FLEV2,933,3
FLEV3,933,4
FLEV4,933,8
FLC,934,1
FLEV1,934,3
FLEV2,934,3
FLEV3,934,4
FLEV4,934,8
FLC,935,1
FLEV1,935,3
FLEV2,935,3
FLEV3,935,4
FLEV4,935,8
FLC,936,1
FLEV1,936,3
FLEV2,936,3
FLEV3,936,4
FLEV4,936,8
FLC,937,1
FLEV1,937,3
FLEV2,937,3
FLEV3,937,4
FLEV4,937,8
FLC,938,1
FLEV1,938,3
FLEV2,938,3
FLEV3,938,4
FLEV4,938,8
FLC,939,1
FLEV1,939,3
FLEV2,939,3
FLEV3,939,4
FLEV4,939,8
FLC,940,1
FLEV1,940,3
FLEV2,940,3
FLEV3,940,4
FLEV4,940,8
FLC,941,1
FLEV1,941,3
FLEV2,941,3
FLEV3,941,4
FLEV4,941,8
FLC,942,1
FLEV1,942,3
FLEV2,942,3
FLEV3,942,4
FLEV4,942,8
FLC,943,1
FLEV1,943,3
FLEV2,943,3
FLEV3,943,4
FLEV4,943,8
FLC,944,1
FLEV1,944,3
FLEV2,944,3
FLEV3,944,4
FLEV4,944,8
FLC,945,1
FLEV1,945,3
FLEV2,945,3
FLEV3,945,4
FLEV4,945,8
FLC,946,1
FLEV1,946,3
FLEV2,946,3
FLEV3,946,4
FLEV4,946,8
FLC,947,1
FLEV1,947,3
FLEV2,947,3
FLEV3,947,4
FLEV4,947,8
FLC,948,1
FLEV1,948,3
FLEV2,948,3
FLEV3,948,4
FLEV4,948,8
FLC,949,1
FLEV1,949,3
FLEV2,949,3
FLEV3,949,4
FLEV4,949,8
FLC,950,1
FLEV1,950,3
FLEV2,950,3
FLEV3,950,4
FLEV4,950,8
FLC,951,1
FLEV1,951,3
FLEV2,951,3
FLEV3,951,4
FLEV4,951,8
FLC,952,1
FLEV1,952,3
FLEV2,952,3
FLEV3,952,4
FLEV4,952,8
FLC,953,1
FLEV1,953,3
FLEV2,953,3
FLEV3,953,4
FLEV4,953,8
FLC,954,1
FLEV1,954,3
FLEV2,954,3
FLEV3,954,4
FLEV4,954,8
FLC,955,1
FLEV1,955,3
FLEV2,955,3
FLEV3,955,4
FLEV4,955,8
FLC,956,1
FLEV1,956,3
FLEV2,956,3
FLEV3,956,4
FLEV4,956,8
FLC,957,1
FLEV1,957,3
FLEV2,957,3
FLEV3,957,4
FLEV4,957,8
FLC,958,1
FLEV1,958,3
FLEV2,958,3
FLEV3,958,4
FLEV4,958,8
FLC,959,1
FLEV1,959,3
FLEV2,959,3
FLEV3,959,4
FLEV4,959,8
FLC,960,1
FLEV1,960,3
FLEV2,960,3
FLEV3,960,4
FLEV4,960,8
FLC,961,1
FLEV1,961,3
FLEV2,961,3
FLEV3,961,4
FLEV4,961,8
FLC,962,1
FLEV1,962,3
FLEV2,962,3
FLEV3,962,4
FLEV4,962,8
FLC,963,1
FLEV1,963,3
FLEV2,963,3
FLEV3,963,4
FLEV4,963,8
FLC,964,1
FLEV1,964,3
FLEV2,964,3
FLEV3,964,4
FLEV4,964,8
FLC,965,1
FLEV1,965,3
FLEV2,965,3
FLEV3,965,4
FLEV4,965,8
FLC,966,1
FLEV1,966,3
FLEV2,966,3
FLEV3,966,4
FLEV4,966,8
FLC,967,1
FLEV1,967,3
FLEV2,967,3
FLEV3,967,4
FLEV4,967,8
FLC,968,1
FLEV1,968,3
FLEV2,968,3
FLEV3,968,4
FLEV4,968,8
FLC,969,1
FLEV1,969,3
FLEV2,969,3
FLEV3,969,4
FLEV4,969,8
FLC,970,1
FLEV1,970,3
FLEV2,970,3
FLEV3,970,4
FLEV4,970,8
FLC,971,1
FLEV1,971,3
FLEV2,971,3
FLEV3,971,4
FLEV4,971,8
FLC,972,1
FLEV1,972,3
FLEV2,972,3
FLEV3,972,4
FLEV4,972,8
FLC,973,1
FLEV1,973,3
FLEV2,973,3
FLEV3,973,4
FLEV4,973,8
FLC,974,1
FLEV1,974,3
FLEV2,974,3
FLEV3,974,4
FLEV4,974,8
FLC,975,1
FLEV1,975,3
FLEV2,975,3
FLEV3,975,4
FLEV4,975,8
FLC,976,1
FLEV1,976,3
FLEV2,976,3
FLEV3,976,4
FLEV4,976,8
FLC,977,1
FLEV1,977,3
FLEV2,977,3
FLEV3,977,4
FLEV4,977,8
FLC,978,1
FLEV1,978,3
FLEV2,978,3
FLEV3,978,4
FLEV4,978,8
FLC,979,1
FLEV1,979,3
FLEV2,979,3
FLEV3,979,4
FLEV4,979,8
FLC,980,1
FLEV1,980,3
FLEV2,980,3
FLEV3,980,4
FLEV4,980,8
FLC,981,1
FLEV1,981,3
FLEV2,981,3
FLEV3,981,4
FLEV4,981,8
FLC,982,1
FLEV1,982,3
FLEV2,982,3
FLEV3,982,4
FLEV4,982,8
FLC,983,1
FLEV1,983,3
FLEV2,983,3
FLEV3,983,4
FLEV4,983,8
FLC,984,1
FLEV1,984,3
FLEV2,984,3
FLEV3,984,4
FLEV4,984,8
FLC,985,1
FLEV1,985,3
FLEV2,985,3
FLEV3,985,4
FLEV4,985,8
FLC,986,1
FLEV1,986,3
FLEV2,986,3
FLEV3,986,4
FLEV4,986,8
FLC,987,1
FLEV1,987,3
FLEV2,987,3
FLEV3,987,4
FLEV4,987,8
FLC,988,1
FLEV1,988,3
FLEV2,988,3
FLEV3,988,4
FLEV4,988,8
FLC,989,1
FLEV1,989,3
FLEV2,989,3
FLEV3,989,4
FLEV4,989,8
FLC,990,1
FLEV1,990,3
FLEV2,990,3
FLEV3,990,4
FLEV4,990,8
FLC,991,1
FLEV1,991,3
FLEV2,991,3
FLEV3,991,4
FLEV4,991,8
FLC,992,1
FLEV1,992,3
FLEV2,992,3
FLEV3,992,4
FLEV4,992,8
FLC,993,1
FLEV1,993,3
FLEV2,993,3
FLEV3,993,4
FLEV4,993,8
FLC,994,1
FLEV1,994,3
FLEV2,994,3
FLEV3,994,4
FLEV4,994,8
FLC,995,1
FLEV1,995,3
FLEV2,995,3
FLEV3,995,4
FLEV4,995,8
FLC,996,1
FLEV1,996,3
FLEV2,996,3
FLEV3,996,4
FLEV4,996,8
FLC,997,1
FLEV1,997,3
FLEV2,997,3
FLEV3,997,4
FLEV4,997,8
FLC,998,1
FLEV1,998,3
FLEV2,998,3
FLEV3,998,4
FLEV4,998,8
FLC,999,1
FLEV1,999,3
FLEV2,999,3
FLEV3,999,4
FLEV4,999,8
FLC,1000,1
FLEV1,1000,3
FLEV2,1000,3
FLEV3,1000,4
FLEV4,1000,8
FLC,1001,1
FLEV1,1001,3
FLEV2,1001,3
FLEV3,1001,4
FLEV4,1001,8
FLC,1002,1
FLEV1,1002,3
FLEV2,1002,3
FLEV3,1002,4
FLEV4,1002,8
FLC,1003,1
FLEV1,1003,3
FLEV2,1003,3
FLEV3,1003,4
FLEV4,1003,8
FLC,1004,1
FLEV1,1004,3
FLEV2,1004,3
FLEV3,1004,4
FLEV4,1004,8
FLC,1005,1
FLEV1,1005,3
FLEV2,1005,3
FLEV3,1005,4
FLEV4,1005,8
FLC,1006,1
FLEV1,1006,3
FLEV2,1006,3
FLEV3,1006,4
FLEV4,1006,8
FLC,1007,1
FLEV1,1007,3
FLEV2,1007,3
FLEV3,1007,4
FLEV4,1007,8
FLC,1008,1
FLEV1,1008,3
FLEV2,1008,3
FLEV3,1008,4
FLEV4,1008,8
FLC,1009,1
FLEV1,1009,3
FLEV2,1009,3
FLEV3,1009,4
FLEV4,1009,8
FLC,1010,1
FLEV1,1010,3
FLEV2,1010,3
FLEV3,1010,4
FLEV4,1010,8
FLC,1011,1
FLEV1,1011,3
FLEV2,1011,3
FLEV3,1011,4
FLEV4,1011,8
FLC,1012,1
FLEV1,1012,3
FLEV2,1012,3
FLEV3,1012,4
FLEV4,1012,8
FLC,1013,1
FLEV1,1013,3
FLEV2,1013,3
FLEV3,1013,4
FLEV4,1013,8
FLC,1014,1
FLEV1,1014,3
FLEV2,1014,3
FLEV3,1014,4
FLEV4,1014,8
FLC,1015,1
FLEV1,1015,3
FLEV2,1015,3
FLEV3,1015,4
FLEV4,1015,8
FLC,1016,1
FLEV1,1016,3
FLEV2,1016,3
FLEV3,1016,4
FLEV4,1016,8
FLC,1017,1
FLEV1,1017,3
FLEV2,1017,3
FLEV3,1017,4
FLEV4,1017,8
FLC,1018,1
FLEV1,1018,3
FLEV2,1018,3
FLEV3,1018,4
FLEV4,1018,8
FLC,1019,1
FLEV1,1019,3
FLEV2,1019,3
FLEV3,1019,4
FLEV4,1019,8
FLC,1020,1
FLEV1,1020,3
FLEV2,1020,3
FLEV3,1020,4
FLEV4,1020,8
FLC,1021,1
FLEV1,1021,3
FLEV2,1021,3
FLEV3,1021,4
FLEV4,1021,8
FLC,1022,1
FLEV1,1022,3
FLEV2,1022,3
FLEV3,1022,4
FLEV4,1022,8
FLC,1023,1
FLEV1,1023,3
FLEV2,1023,3
FLEV3,1023,4
FLEV4,1023,8
FLC,1024,1
FLEV1,1024,3
FLEV2,1024,3
FLEV3,1024,4
FLEV4,1024,8
FLC,1025,1
FLEV1,1025,3
FLEV2,1025,3
FLEV3,1025,4
FLEV4,1025,8
FLC,1026,1
FLEV1,1026,3
FLEV2,1026,3
FLEV3,1026,4
FLEV4,1026,8
FLC,1027,1
FLEV1,1027,3
FLEV2,1027,3
FLEV3,1027,4
FLEV4,1027,8
FLC,1028,1
FLEV1,1028,3
FLEV2,1028,3
FLEV3,1028,4
FLEV4,1028,8
FLC,1029,1
FLEV1,1029,3
FLEV2,1029,3
FLEV3,1029,4
FLEV4,1029,8
FLC,1030,1
FLEV1,1030,3
FLEV2,1030,3
FLEV3,1030,4
FLEV4,1030,8
FLC,1031,1
FLEV1,1031,3
FLEV2,1031,3
FLEV3,1031,4
FLEV4,1031,8
FLC,1032,1
FLEV1,1032,3
FLEV2,1032,3
FLEV3,1032,4
FLEV4,1032,8
FLC,1033,1
FLEV1,1033,3
FLEV2,1033,3
FLEV3,1033,4
FLEV4,1033,8
FLC,1034,1
FLEV1,1034,3
FLEV2,1034,3
FLEV3,1034,4
FLEV4,1034,8
FLC,1035,1
FLEV1,1035,3
FLEV2,1035,3
FLEV3,1035,4
FLEV4,1035,8
FLC,1036,1
FLEV1,1036,3
FLEV2,1036,3
FLEV3,1036,4
FLEV4,1036,8
FLC,1037,1
FLEV1,1037,3
FLEV2,1037,3
FLEV3,1037,4
FLEV4,1037,8
FLC,1038,1
FLEV1,1038,3
FLEV2,1038,3
FLEV3,1038,4
FLEV4,1038,8
FLC,1039,1
FLEV1,1039,3
FLEV2,1039,3
FLEV3,1039,4
FLEV4,1039,8
FLC,1040,1
FLEV1,1040,3
FLEV2,1040,3
FLEV3,1040,4
FLEV4,1040,8
FLC,1041,1
FLEV1,1041,3
FLEV2,1041,3
FLEV3,1041,4
FLEV4,1041,8
FLC,1042,1
FLEV1,1042,3
FLEV2,1042,3
FLEV3,1042,4
FLEV4,1042,8
FLC,1043,1
FLEV1,1043,3
FLEV2,1043,3
FLEV3,1043,4
FLEV4,1043,8
FLC,1044,1
FLEV1,1044,3
FLEV2,1044,3
FLEV3,1044,4
FLEV4,1044,8
FLC,1045,1
FLEV1,1045,3
FLEV2,1045,3
FLEV3,1045,4
FLEV4,1045,8
FLC,1046,1
FLEV1,1046,3
FLEV2,1046,3
FLEV3,1046,4
FLEV4,1046,8
FLC,1047,1
FLEV1,1047,3
FLEV2,1047,3
FLEV3,1047,4
FLEV4,1047,8
FLC,1048,1
FLEV1,1048,3
FLEV2,1048,3
FLEV3,1048,4
FLEV4,1048,8
FLC,1049,1
FLEV1,1049,3
FLEV2,1049,3
FLEV3,1049,4
FLEV4,1049,8
FLC,1050,1
FLEV1,1050,3
FLEV2,1050,3
FLEV3,1050,4
FLEV4,1050,8
FLC,1051,1
FLEV1,1051,3
FLEV2,1051,3
FLEV3,1051,4
FLEV4,1051,8
FLC,1052,1
FLEV1,1052,3
FLEV2,1052,3
FLEV3,1052,4
FLEV4,1052,8
FLC,1053,1
FLEV1,1053,3
FLEV2,1053,3
FLEV3,1053,4
FLEV4,1053,8
FLC,1054,1
FLEV1,1054,3
FLEV2,1054,3
FLEV3,1054,4
FLEV4,1054,8
FLC,1055,1
FLEV1,1055,3
FLEV2,1055,3
FLEV3,1055,4
FLEV4,1055,8
FLC,1056,1
FLEV1,1056,3
FLEV2,1056,3
FLEV3,1056,4
FLEV4,1056,8
FLC,1057,1
FLEV1,1057,3
FLEV2,1057,3
FLEV3,1057,4
FLEV4,1057,8
FLC,1058,1
FLEV1,1058,3
FLEV2,1058,3
FLEV3,1058,4
FLEV4,1058,8
FLC,1059,1
FLEV1,1059,3
FLEV2,1059,3
FLEV3,1059,4
FLEV4,1059,8
FLC,1060,1
FLEV1,1060,3
FLEV2,1060,3
FLEV3,1060,4
FLEV4,1060,8
FLC,1061,1
FLEV1,1061,3
FLEV2,1061,3
FLEV3,1061,4
FLEV4,1061,8
FLC,1062,1
FLEV1,1062,3
FLEV2,1062,3
FLEV3,1062,4
FLEV4,1062,8
FLC,1063,1
FLEV1,1063,3
FLEV2,1063,3
FLEV3,1063,4
FLEV4,1063,8
FLC,1064,1
FLEV1,1064,3
FLEV2,1064,3
FLEV3,1064,4
FLEV4,1064,8
FLC,1065,1
FLEV1,1065,3
FLEV2,1065,3
FLEV3,1065,4
FLEV4,1065,8
FLC,1066,1
FLEV1,1066,3
FLEV2,1066,3
FLEV3,1066,4
FLEV4,1066,8
FLC,1067,1
FLEV1,1067,3
FLEV2,1067,3
FLEV3,1067,4
FLEV4,1067,8
FLC,1068,1
FLEV1,1068,3
FLEV2,1068,3
FLEV3,1068,4
FLEV4,1068,8
FLC,1069,1
FLEV1,1069,3
FLEV2,1069,3
FLEV3,1069,4
FLEV4,1069,8
FLC,1070,1
FLEV1,1070,3
FLEV2,1070,3
FLEV3,1070,4
FLEV4,1070,8
FLC,1071,1
FLEV1,1071,3
FLEV2,1071,3
FLEV3,1071,4
